p_id;p_nr;p_name;p_text;p_comp[zielgruppe];p_brand;a_id;a_nr;a_active;a_ean;a_prodnr;a_comp[farbe];a_comp[groesse];a_stock;a_media[image]{0};a_media[image]{1};a_media[image]{2};a_media[image]{3};a_media[image]{4};a_media[image]{5};p_comp[material]
37483;30602929;Pullover;Dieser Pullover ist aus einer weichen Sweatware gefertigt. Die modische Oversized-Form hat einen klassischem Rundhalsausschnitt und eine Tasche auf der Vorderseite. Der Clou sind aber die rmel: die schicken Eins„tze sind aus einem kuscheligen Teddystoff.;Damen;DreiMaster;273437;4251621767049;0;4251621767049;30906;dunkelgrau blau;M;9;https://clientmedia.trade-server.net/1211_glago/media/2/04/427205.jpg;https://clientmedia.trade-server.net/1211_glago/media/2/06/427207.jpg;https://clientmedia.trade-server.net/1211_glago/media/2/08/427209.jpg;https://clientmedia.trade-server.net/1211_glago/media/2/10/427211.jpg;https://clientmedia.trade-server.net/1211_glago/media/2/12/427213.jpg;;60% Baumwolle, 40% Polyester
37483;30602929;Pullover;Dieser Pullover ist aus einer weichen Sweatware gefertigt. Die modische Oversized-Form hat einen klassischem Rundhalsausschnitt und eine Tasche auf der Vorderseite. Der Clou sind aber die rmel: die schicken Eins„tze sind aus einem kuscheligen Teddystoff.;Damen;DreiMaster;273439;4251621767117;0;4251621767117;30906;dunkelgrau blau;XL;2;https://clientmedia.trade-server.net/1211_glago/media/2/04/427205.jpg;https://clientmedia.trade-server.net/1211_glago/media/2/06/427207.jpg;https://clientmedia.trade-server.net/1211_glago/media/2/08/427209.jpg;https://clientmedia.trade-server.net/1211_glago/media/2/10/427211.jpg;https://clientmedia.trade-server.net/1211_glago/media/2/12/427213.jpg;;60% Baumwolle, 40% Polyester
37483;30602929;Pullover;Dieser Pullover ist aus einer weichen Sweatware gefertigt. Die modische Oversized-Form hat einen klassischem Rundhalsausschnitt und eine Tasche auf der Vorderseite. Der Clou sind aber die rmel: die schicken Eins„tze sind aus einem kuscheligen Teddystoff.;Damen;DreiMaster;273445;4251621767025;0;4251621767025;30906;grau melange;L;10;https://clientmedia.trade-server.net/1211_glago/media/2/70/427271.jpg;https://clientmedia.trade-server.net/1211_glago/media/2/76/427277.jpg;https://clientmedia.trade-server.net/1211_glago/media/2/80/427281.jpg;https://clientmedia.trade-server.net/1211_glago/media/2/86/427287.jpg;https://clientmedia.trade-server.net/1211_glago/media/2/90/427291.jpg;;60% Baumwolle, 40% Polyester
37483;30602929;Pullover;Dieser Pullover ist aus einer weichen Sweatware gefertigt. Die modische Oversized-Form hat einen klassischem Rundhalsausschnitt und eine Tasche auf der Vorderseite. Der Clou sind aber die rmel: die schicken Eins„tze sind aus einem kuscheligen Teddystoff.;Damen;DreiMaster;273449;4251621767131;0;4251621767131;30906;grau melange;XL;3;https://clientmedia.trade-server.net/1211_glago/media/2/70/427271.jpg;https://clientmedia.trade-server.net/1211_glago/media/2/76/427277.jpg;https://clientmedia.trade-server.net/1211_glago/media/2/80/427281.jpg;https://clientmedia.trade-server.net/1211_glago/media/2/86/427287.jpg;https://clientmedia.trade-server.net/1211_glago/media/2/90/427291.jpg;;60% Baumwolle, 40% Polyester
37483;30602929;Pullover;Dieser Pullover ist aus einer weichen Sweatware gefertigt. Die modische Oversized-Form hat einen klassischem Rundhalsausschnitt und eine Tasche auf der Vorderseite. Der Clou sind aber die rmel: die schicken Eins„tze sind aus einem kuscheligen Teddystoff.;Damen;DreiMaster;273453;4251621767032;0;4251621767032;30906;wollweiss;L;6;https://clientmedia.trade-server.net/1211_glago/media/3/44/427345.jpg;https://clientmedia.trade-server.net/1211_glago/media/3/46/427347.jpg;https://clientmedia.trade-server.net/1211_glago/media/3/48/427349.jpg;https://clientmedia.trade-server.net/1211_glago/media/3/50/427351.jpg;https://clientmedia.trade-server.net/1211_glago/media/3/52/427353.jpg;;60% Baumwolle, 40% Polyester
37483;30602929;Pullover;Dieser Pullover ist aus einer weichen Sweatware gefertigt. Die modische Oversized-Form hat einen klassischem Rundhalsausschnitt und eine Tasche auf der Vorderseite. Der Clou sind aber die rmel: die schicken Eins„tze sind aus einem kuscheligen Teddystoff.;Damen;DreiMaster;273455;4251621767063;0;4251621767063;30906;wollweiss;M;9;https://clientmedia.trade-server.net/1211_glago/media/3/44/427345.jpg;https://clientmedia.trade-server.net/1211_glago/media/3/46/427347.jpg;https://clientmedia.trade-server.net/1211_glago/media/3/48/427349.jpg;https://clientmedia.trade-server.net/1211_glago/media/3/50/427351.jpg;https://clientmedia.trade-server.net/1211_glago/media/3/52/427353.jpg;;60% Baumwolle, 40% Polyester
37483;30602929;Pullover;Dieser Pullover ist aus einer weichen Sweatware gefertigt. Die modische Oversized-Form hat einen klassischem Rundhalsausschnitt und eine Tasche auf der Vorderseite. Der Clou sind aber die rmel: die schicken Eins„tze sind aus einem kuscheligen Teddystoff.;Damen;DreiMaster;273457;4251621767100;0;4251621767100;30906;wollweiss;S;10;https://clientmedia.trade-server.net/1211_glago/media/3/44/427345.jpg;https://clientmedia.trade-server.net/1211_glago/media/3/46/427347.jpg;https://clientmedia.trade-server.net/1211_glago/media/3/48/427349.jpg;https://clientmedia.trade-server.net/1211_glago/media/3/50/427351.jpg;https://clientmedia.trade-server.net/1211_glago/media/3/52/427353.jpg;;60% Baumwolle, 40% Polyester
37483;30602929;Pullover;Dieser Pullover ist aus einer weichen Sweatware gefertigt. Die modische Oversized-Form hat einen klassischem Rundhalsausschnitt und eine Tasche auf der Vorderseite. Der Clou sind aber die rmel: die schicken Eins„tze sind aus einem kuscheligen Teddystoff.;Damen;DreiMaster;273459;4251621767155;0;4251621767155;30906;wollweiss;XL;2;https://clientmedia.trade-server.net/1211_glago/media/3/44/427345.jpg;https://clientmedia.trade-server.net/1211_glago/media/3/46/427347.jpg;https://clientmedia.trade-server.net/1211_glago/media/3/48/427349.jpg;https://clientmedia.trade-server.net/1211_glago/media/3/50/427351.jpg;https://clientmedia.trade-server.net/1211_glago/media/3/52/427353.jpg;;60% Baumwolle, 40% Polyester
37485;30602930;Kapuzenjacke;Diese schicke lange Sweatjacke, hat ein kuscheliges Innenfutter in der Kapuze. Es ist aus einem weichen Teddystoff gefertigt und sieht herrlich gemtlich aus. Die Jacke selbst ist aus einer soften Sweatware gefertigt, hat zwei praktische Seitentaschen und Rippenbndchen an den Armabschlssen der Raglan„rmel.;Damen;DreiMaster;273463;4251621767377;0;4251621767377;30906;dunkelgrau blau;S;11;https://clientmedia.trade-server.net/1211_glago/media/4/28/427429.jpg;https://clientmedia.trade-server.net/1211_glago/media/4/34/427435.jpg;https://clientmedia.trade-server.net/1211_glago/media/4/38/427439.jpg;https://clientmedia.trade-server.net/1211_glago/media/4/40/427441.jpg;https://clientmedia.trade-server.net/1211_glago/media/4/42/427443.jpg;;60% Baumwolle, 40% Polyester
37485;30602930;Kapuzenjacke;Diese schicke lange Sweatjacke, hat ein kuscheliges Innenfutter in der Kapuze. Es ist aus einem weichen Teddystoff gefertigt und sieht herrlich gemtlich aus. Die Jacke selbst ist aus einer soften Sweatware gefertigt, hat zwei praktische Seitentaschen und Rippenbndchen an den Armabschlssen der Raglan„rmel.;Damen;DreiMaster;273465;4251621767315;0;4251621767315;30906;dunkelgrau blau;L;5;https://clientmedia.trade-server.net/1211_glago/media/4/28/427429.jpg;https://clientmedia.trade-server.net/1211_glago/media/4/34/427435.jpg;https://clientmedia.trade-server.net/1211_glago/media/4/38/427439.jpg;https://clientmedia.trade-server.net/1211_glago/media/4/40/427441.jpg;https://clientmedia.trade-server.net/1211_glago/media/4/42/427443.jpg;;60% Baumwolle, 40% Polyester
37485;30602930;Kapuzenjacke;Diese schicke lange Sweatjacke, hat ein kuscheliges Innenfutter in der Kapuze. Es ist aus einem weichen Teddystoff gefertigt und sieht herrlich gemtlich aus. Die Jacke selbst ist aus einer soften Sweatware gefertigt, hat zwei praktische Seitentaschen und Rippenbndchen an den Armabschlssen der Raglan„rmel.;Damen;DreiMaster;273467;4251621767346;0;4251621767346;30906;dunkelgrau blau;M;9;https://clientmedia.trade-server.net/1211_glago/media/4/28/427429.jpg;https://clientmedia.trade-server.net/1211_glago/media/4/34/427435.jpg;https://clientmedia.trade-server.net/1211_glago/media/4/38/427439.jpg;https://clientmedia.trade-server.net/1211_glago/media/4/40/427441.jpg;https://clientmedia.trade-server.net/1211_glago/media/4/42/427443.jpg;;60% Baumwolle, 40% Polyester
37485;30602930;Kapuzenjacke;Diese schicke lange Sweatjacke, hat ein kuscheliges Innenfutter in der Kapuze. Es ist aus einem weichen Teddystoff gefertigt und sieht herrlich gemtlich aus. Die Jacke selbst ist aus einer soften Sweatware gefertigt, hat zwei praktische Seitentaschen und Rippenbndchen an den Armabschlssen der Raglan„rmel.;Damen;DreiMaster;273469;4251621767407;0;4251621767407;30906;dunkelgrau blau;XL;1;https://clientmedia.trade-server.net/1211_glago/media/4/28/427429.jpg;https://clientmedia.trade-server.net/1211_glago/media/4/34/427435.jpg;https://clientmedia.trade-server.net/1211_glago/media/4/38/427439.jpg;https://clientmedia.trade-server.net/1211_glago/media/4/40/427441.jpg;https://clientmedia.trade-server.net/1211_glago/media/4/42/427443.jpg;;60% Baumwolle, 40% Polyester
37485;30602930;Kapuzenjacke;Diese schicke lange Sweatjacke, hat ein kuscheliges Innenfutter in der Kapuze. Es ist aus einem weichen Teddystoff gefertigt und sieht herrlich gemtlich aus. Die Jacke selbst ist aus einer soften Sweatware gefertigt, hat zwei praktische Seitentaschen und Rippenbndchen an den Armabschlssen der Raglan„rmel.;Damen;DreiMaster;273471;4251621767452;0;4251621767452;30906;dunkelgrau blau;XS;4;https://clientmedia.trade-server.net/1211_glago/media/4/28/427429.jpg;https://clientmedia.trade-server.net/1211_glago/media/4/34/427435.jpg;https://clientmedia.trade-server.net/1211_glago/media/4/38/427439.jpg;https://clientmedia.trade-server.net/1211_glago/media/4/40/427441.jpg;https://clientmedia.trade-server.net/1211_glago/media/4/42/427443.jpg;;60% Baumwolle, 40% Polyester
37485;30602930;Kapuzenjacke;Diese schicke lange Sweatjacke, hat ein kuscheliges Innenfutter in der Kapuze. Es ist aus einem weichen Teddystoff gefertigt und sieht herrlich gemtlich aus. Die Jacke selbst ist aus einer soften Sweatware gefertigt, hat zwei praktische Seitentaschen und Rippenbndchen an den Armabschlssen der Raglan„rmel.;Damen;DreiMaster;273475;4251621767322;0;4251621767322;30906;grau melange;L;9;https://clientmedia.trade-server.net/1211_glago/media/4/64/427465.jpg;https://clientmedia.trade-server.net/1211_glago/media/4/66/427467.jpg;https://clientmedia.trade-server.net/1211_glago/media/4/68/427469.jpg;https://clientmedia.trade-server.net/1211_glago/media/4/70/427471.jpg;https://clientmedia.trade-server.net/1211_glago/media/4/72/427473.jpg;;60% Baumwolle, 40% Polyester
37485;30602930;Kapuzenjacke;Diese schicke lange Sweatjacke, hat ein kuscheliges Innenfutter in der Kapuze. Es ist aus einem weichen Teddystoff gefertigt und sieht herrlich gemtlich aus. Die Jacke selbst ist aus einer soften Sweatware gefertigt, hat zwei praktische Seitentaschen und Rippenbndchen an den Armabschlssen der Raglan„rmel.;Damen;DreiMaster;273477;4251621767353;0;4251621767353;30906;grau melange;M;12;https://clientmedia.trade-server.net/1211_glago/media/4/64/427465.jpg;https://clientmedia.trade-server.net/1211_glago/media/4/66/427467.jpg;https://clientmedia.trade-server.net/1211_glago/media/4/68/427469.jpg;https://clientmedia.trade-server.net/1211_glago/media/4/70/427471.jpg;https://clientmedia.trade-server.net/1211_glago/media/4/72/427473.jpg;;60% Baumwolle, 40% Polyester
37485;30602930;Kapuzenjacke;Diese schicke lange Sweatjacke, hat ein kuscheliges Innenfutter in der Kapuze. Es ist aus einem weichen Teddystoff gefertigt und sieht herrlich gemtlich aus. Die Jacke selbst ist aus einer soften Sweatware gefertigt, hat zwei praktische Seitentaschen und Rippenbndchen an den Armabschlssen der Raglan„rmel.;Damen;DreiMaster;273479;4251621767414;0;4251621767414;30906;grau melange;XL;2;https://clientmedia.trade-server.net/1211_glago/media/4/64/427465.jpg;https://clientmedia.trade-server.net/1211_glago/media/4/66/427467.jpg;https://clientmedia.trade-server.net/1211_glago/media/4/68/427469.jpg;https://clientmedia.trade-server.net/1211_glago/media/4/70/427471.jpg;https://clientmedia.trade-server.net/1211_glago/media/4/72/427473.jpg;;60% Baumwolle, 40% Polyester
37485;30602930;Kapuzenjacke;Diese schicke lange Sweatjacke, hat ein kuscheliges Innenfutter in der Kapuze. Es ist aus einem weichen Teddystoff gefertigt und sieht herrlich gemtlich aus. Die Jacke selbst ist aus einer soften Sweatware gefertigt, hat zwei praktische Seitentaschen und Rippenbndchen an den Armabschlssen der Raglan„rmel.;Damen;DreiMaster;273483;4251621767339;0;4251621767339;30906;wollweiss;L;6;https://clientmedia.trade-server.net/1211_glago/media/5/24/427525.jpg;https://clientmedia.trade-server.net/1211_glago/media/5/26/427527.jpg;https://clientmedia.trade-server.net/1211_glago/media/5/28/427529.jpg;https://clientmedia.trade-server.net/1211_glago/media/5/30/427531.jpg;https://clientmedia.trade-server.net/1211_glago/media/5/32/427533.jpg;;60% Baumwolle, 40% Polyester
37485;30602930;Kapuzenjacke;Diese schicke lange Sweatjacke, hat ein kuscheliges Innenfutter in der Kapuze. Es ist aus einem weichen Teddystoff gefertigt und sieht herrlich gemtlich aus. Die Jacke selbst ist aus einer soften Sweatware gefertigt, hat zwei praktische Seitentaschen und Rippenbndchen an den Armabschlssen der Raglan„rmel.;Damen;DreiMaster;273485;4251621767360;0;4251621767360;30906;wollweiss;M;9;https://clientmedia.trade-server.net/1211_glago/media/5/24/427525.jpg;https://clientmedia.trade-server.net/1211_glago/media/5/26/427527.jpg;https://clientmedia.trade-server.net/1211_glago/media/5/28/427529.jpg;https://clientmedia.trade-server.net/1211_glago/media/5/30/427531.jpg;https://clientmedia.trade-server.net/1211_glago/media/5/32/427533.jpg;;60% Baumwolle, 40% Polyester
37485;30602930;Kapuzenjacke;Diese schicke lange Sweatjacke, hat ein kuscheliges Innenfutter in der Kapuze. Es ist aus einem weichen Teddystoff gefertigt und sieht herrlich gemtlich aus. Die Jacke selbst ist aus einer soften Sweatware gefertigt, hat zwei praktische Seitentaschen und Rippenbndchen an den Armabschlssen der Raglan„rmel.;Damen;DreiMaster;273487;4251621767391;0;4251621767391;30906;wollweiss;S;12;https://clientmedia.trade-server.net/1211_glago/media/5/24/427525.jpg;https://clientmedia.trade-server.net/1211_glago/media/5/26/427527.jpg;https://clientmedia.trade-server.net/1211_glago/media/5/28/427529.jpg;https://clientmedia.trade-server.net/1211_glago/media/5/30/427531.jpg;https://clientmedia.trade-server.net/1211_glago/media/5/32/427533.jpg;;60% Baumwolle, 40% Polyester
37485;30602930;Kapuzenjacke;Diese schicke lange Sweatjacke, hat ein kuscheliges Innenfutter in der Kapuze. Es ist aus einem weichen Teddystoff gefertigt und sieht herrlich gemtlich aus. Die Jacke selbst ist aus einer soften Sweatware gefertigt, hat zwei praktische Seitentaschen und Rippenbndchen an den Armabschlssen der Raglan„rmel.;Damen;DreiMaster;273489;4251621767438;0;4251621767438;30906;wollweiss;XL;1;https://clientmedia.trade-server.net/1211_glago/media/5/24/427525.jpg;https://clientmedia.trade-server.net/1211_glago/media/5/26/427527.jpg;https://clientmedia.trade-server.net/1211_glago/media/5/28/427529.jpg;https://clientmedia.trade-server.net/1211_glago/media/5/30/427531.jpg;https://clientmedia.trade-server.net/1211_glago/media/5/32/427533.jpg;;60% Baumwolle, 40% Polyester
